Estado,Produto,Quantidade (m³)
Bahia,GORDURA BOVINA,435659.0
Bahia,GORDURA DE FRANGO,108.0
Bahia,OUTROS MATERIAIS GRAXOS,262303.0
Bahia,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),98966.0
Bahia,ÓLEO DE FRITURA USADO,3241.0
Bahia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),418527.0
Bahia,ÓLEO DE SOJA (GLYCINE MAX),849493.0
Goiás,GORDURA BOVINA,332606.0
Goiás,GORDURA DE FRANGO,3877.0
Goiás,GORDURA DE PORCO,46906.0
Goiás,OUTROS MATERIAIS GRAXOS,289643.0
Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,14790.0
Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),80903.0
Goiás,ÓLEO DE FRITURA USADO,3843.0
Goiás,ÓLEO DE MILHO,19907.0
Goiás,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),120706.0
Goiás,ÓLEO DE PALMISTE,136.0
Goiás,ÓLEO DE SOJA (GLYCINE MAX),3606921.0
Mato Grosso,GORDURA BOVINA,41111.0
Mato Grosso,GORDURA DE FRANGO,3401.0
Mato Grosso,GORDURA DE PORCO,1069.0
Mato Grosso,OUTROS MATERIAIS GRAXOS,977996.0
Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE PALMA / DENDÊ,2648.0
Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,19772.0
Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),147423.0
Mato Grosso,ÓLEO DE FRITURA USADO,2767.0
Mato Grosso,ÓLEO DE GIRASSOL (HELLANTHUS ANNUS),1412.0
Mato Grosso,ÓLEO DE MILHO,153191.0
Mato Grosso,ÓLEO DE SOJA (GLYCINE MAX),4408931.0
Mato Grosso do Sul,GORDURA BOVINA,129010.0
Mato Grosso do Sul,GORDURA DE FRANGO,6374.0
Mato Grosso do Sul,GORDURA DE PORCO,193.0
Mato Grosso do Sul,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),1148.0
Mato Grosso do Sul,ÓLEO DE FRITURA USADO,21942.0
Mato Grosso do Sul,ÓLEO DE SOJA (GLYCINE MAX),1375983.0
Minas Gerais,GORDURA BOVINA,304984.0
Minas Gerais,GORDURA DE FRANGO,21125.0
Minas Gerais,GORDURA DE PORCO,18331.0
Minas Gerais,OUTROS MATERIAIS GRAXOS,177079.0
Minas Gerais,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),1610.0
Minas Gerais,ÓLEO DE FRITURA USADO,5758.0
Minas Gerais,ÓLEO DE MILHO,126.0
Minas Gerais,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),736.0
Minas Gerais,ÓLEO DE SOJA (GLYCINE MAX),134909.0
Paraná,GORDURA BOVINA,368717.0
Paraná,GORDURA DE FRANGO,123478.0
Paraná,GORDURA DE PORCO,126907.0
Paraná,OUTROS MATERIAIS GRAXOS,586461.0
Paraná,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),11821.0
Paraná,ÓLEO DE FRITURA USADO,20385.0
Paraná,ÓLEO DE MILHO,1074.0
Paraná,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),496.0
Paraná,ÓLEO DE SOJA (GLYCINE MAX),2755840.0
Pará,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),987.0
Piauí,GORDURA BOVINA,91.0
Piauí,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),1789.0
Piauí,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),3138.0
Piauí,ÓLEO DE SOJA (GLYCINE MAX),86833.0
Rio Grande do Sul,GORDURA BOVINA,1014584.0
Rio Grande do Sul,GORDURA DE FRANGO,20717.0
Rio Grande do Sul,GORDURA DE PORCO,158743.0
Rio Grande do Sul,OUTROS MATERIAIS GRAXOS,676452.0
Rio Grande do Sul,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),944.0
Rio Grande do Sul,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),22826.0
Rio Grande do Sul,ÓLEO DE FRITURA USADO,46648.0
Rio Grande do Sul,ÓLEO DE MILHO,793.0
Rio Grande do Sul,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),4672.0
Rio Grande do Sul,ÓLEO DE SOJA (GLYCINE MAX),6394071.0
Rio de Janeiro,GORDURA BOVINA,7576.0
Rio de Janeiro,GORDURA DE FRANGO,8922.0
Rio de Janeiro,GORDURA DE PORCO,234919.0
Rio de Janeiro,OUTROS MATERIAIS GRAXOS,14318.0
Rio de Janeiro,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),921.0
Rio de Janeiro,ÓLEO DE FRITURA USADO,186825.0
Rio de Janeiro,ÓLEO DE MILHO,3142.0
Rio de Janeiro,ÓLEO DE SOJA (GLYCINE MAX),146150.0
Rondônia,GORDURA BOVINA,56926.0
Rondônia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),3538.0
Santa Catarina,OUTROS MATERIAIS GRAXOS,55.0
Santa Catarina,ÓLEO DE FRITURA USADO,501.0
Santa Catarina,ÓLEO DE SOJA (GLYCINE MAX),630716.0
São Paulo,GORDURA BOVINA,459593.0
São Paulo,GORDURA DE FRANGO,58438.0
São Paulo,GORDURA DE PORCO,38167.0
São Paulo,OUTROS MATERIAIS GRAXOS,18701.0
São Paulo,ÁCIDO GRAXO DE ÓLEO DE PALMA / DENDÊ,1319.0
São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,5363.0
São Paulo,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),13938.0
São Paulo,ÓLEO DE FRITURA USADO,169664.0
São Paulo,ÓLEO DE MILHO,7206.0
São Paulo,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),26447.0
São Paulo,ÓLEO DE PALMISTE,337.0
São Paulo,ÓLEO DE SOJA (GLYCINE MAX),292216.0
Tocantins,GORDURA BOVINA,10809.0
Tocantins,OUTROS MATERIAIS GRAXOS,31416.0
Tocantins,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),4060.0
Tocantins,ÓLEO DE FRITURA USADO,80.0
Tocantins,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O),23821.0
Tocantins,ÓLEO DE SOJA (GLYCINE MAX),420339.0
